from_date,title,count
2/28/2002,Senior Staff,2
2/27/2002,Senior Engineer,2
2/27/2002,Senior Staff,1
2/26/2002,Senior Staff,3
2/25/2002,Senior Staff,2
2/25/2002,Senior Engineer,2
2/24/2002,Senior Staff,1
2/24/2002,Senior Engineer,2
2/23/2002,Senior Engineer,1
2/22/2002,Senior Staff,2
2/22/2002,Senior Engineer,2
2/21/2002,Senior Staff,1
2/20/2002,Senior Staff,5
2/20/2002,Senior Engineer,1
2/19/2002,Engineer,1
2/19/2002,Senior Engineer,2
2/19/2002,Senior Staff,1
2/18/2002,Senior Staff,1
2/18/2002,Senior Engineer,1
2/17/2002,Senior Engineer,1
2/17/2002,Senior Staff,1
2/16/2002,Engineer,1
2/16/2002,Senior Staff,2
2/15/2002,Senior Staff,1
2/15/2002,Senior Engineer,2
2/14/2002,Senior Engineer,2
2/14/2002,Senior Staff,4
2/13/2002,Senior Engineer,2
2/12/2002,Senior Staff,2
2/12/2002,Senior Engineer,1
2/11/2002,Senior Engineer,2
2/11/2002,Senior Staff,2
2/11/2002,Engineer,1
2/9/2002,Senior Staff,1
2/9/2002,Senior Engineer,1
2/8/2002,Senior Engineer,1
2/8/2002,Engineer,1
2/7/2002,Senior Staff,2
2/7/2002,Senior Engineer,1
2/6/2002,Senior Engineer,1
2/6/2002,Senior Staff,2
2/5/2002,Senior Engineer,4
2/5/2002,Senior Staff,2
2/4/2002,Engineer,1
2/4/2002,Senior Staff,2
2/3/2002,Senior Staff,1
2/3/2002,Senior Engineer,2
2/2/2002,Senior Engineer,3
2/2/2002,Senior Staff,1
2/1/2002,Engineer,1
2/1/2002,Senior Staff,1
2/1/2002,Senior Engineer,2
1/31/2002,Senior Engineer,1
1/31/2002,Senior Staff,1
1/30/2002,Senior Staff,2
1/30/2002,Senior Engineer,2
1/29/2002,Senior Staff,4
1/28/2002,Senior Staff,5
1/27/2002,Senior Staff,1
1/27/2002,Senior Engineer,4
1/26/2002,Senior Engineer,2
1/26/2002,Engineer,1
1/26/2002,Senior Staff,2
1/25/2002,Senior Engineer,1
1/25/2002,Engineer,3
1/24/2002,Senior Staff,2
1/24/2002,Engineer,1
1/24/2002,Senior Engineer,4
1/23/2002,Senior Engineer,4
1/23/2002,Senior Staff,1
1/22/2002,Senior Engineer,3
1/22/2002,Senior Staff,1
1/21/2002,Senior Engineer,1
1/21/2002,Senior Staff,2
1/20/2002,Senior Staff,1
1/19/2002,Senior Engineer,1
1/18/2002,Engineer,1
1/17/2002,Engineer,1
1/17/2002,Senior Engineer,1
1/16/2002,Senior Staff,2
1/16/2002,Senior Engineer,1
1/15/2002,Senior Engineer,1
1/15/2002,Senior Staff,1
1/14/2002,Senior Staff,1
1/14/2002,Senior Engineer,2
1/13/2002,Senior Engineer,3
1/13/2002,Senior Staff,2
1/12/2002,Senior Staff,1
1/11/2002,Senior Engineer,1
1/10/2002,Senior Staff,2
1/10/2002,Senior Engineer,1
1/9/2002,Senior Engineer,3
1/9/2002,Senior Staff,1
1/8/2002,Senior Engineer,2
1/7/2002,Senior Engineer,3
1/7/2002,Senior Staff,2
1/7/2002,Engineer,1
1/6/2002,Senior Staff,2
1/6/2002,Senior Engineer,1
1/5/2002,Senior Engineer,2
1/5/2002,Senior Staff,1
1/4/2002,Senior Engineer,1
1/4/2002,Senior Staff,1
1/3/2002,Engineer,1
1/3/2002,Senior Engineer,4
1/3/2002,Senior Staff,1
1/2/2002,Senior Staff,3
1/1/2002,Senior Staff,1
1/1/2002,Engineer,1
12/31/2001,Senior Staff,2
12/30/2001,Senior Staff,1
12/28/2001,Senior Engineer,1
12/28/2001,Senior Staff,1
12/27/2001,Senior Engineer,4
12/26/2001,Senior Staff,2
12/26/2001,Senior Engineer,1
12/25/2001,Senior Staff,1
12/24/2001,Engineer,1
12/24/2001,Senior Staff,1
12/24/2001,Senior Engineer,4
12/23/2001,Senior Staff,2
12/22/2001,Senior Engineer,2
12/22/2001,Senior Staff,3
12/21/2001,Senior Staff,4
12/21/2001,Senior Engineer,4
12/20/2001,Senior Staff,2
12/19/2001,Senior Engineer,1
12/19/2001,Senior Staff,3
12/18/2001,Senior Staff,2
12/18/2001,Senior Engineer,2
12/17/2001,Senior Staff,1
12/17/2001,Senior Engineer,1
12/16/2001,Senior Staff,1
12/16/2001,Engineer,1
12/16/2001,Senior Engineer,2
12/15/2001,Senior Engineer,1
12/14/2001,Senior Engineer,1
12/13/2001,Senior Engineer,3
12/13/2001,Senior Staff,3
12/11/2001,Engineer,1
12/10/2001,Senior Engineer,3
12/9/2001,Senior Engineer,3
12/9/2001,Senior Staff,4
12/8/2001,Senior Engineer,4
12/8/2001,Engineer,1
12/8/2001,Senior Staff,2
12/7/2001,Senior Staff,2
12/6/2001,Senior Engineer,2
12/6/2001,Senior Staff,2
12/5/2001,Senior Staff,3
12/5/2001,Senior Engineer,3
12/4/2001,Senior Engineer,1
12/4/2001,Senior Staff,1
12/2/2001,Senior Engineer,2
12/2/2001,Senior Staff,4
11/30/2001,Senior Engineer,1
11/30/2001,Senior Staff,1
11/29/2001,Senior Staff,2
11/29/2001,Senior Engineer,2
11/29/2001,Engineer,2
11/28/2001,Engineer,1
11/28/2001,Senior Engineer,2
11/27/2001,Engineer,1
11/27/2001,Senior Engineer,5
11/27/2001,Senior Staff,1
11/26/2001,Senior Staff,1
11/25/2001,Senior Engineer,2
11/25/2001,Senior Staff,1
11/24/2001,Senior Staff,1
11/23/2001,Senior Staff,2
11/23/2001,Senior Engineer,4
11/22/2001,Senior Engineer,1
11/22/2001,Engineer,1
11/22/2001,Senior Staff,1
11/21/2001,Senior Staff,2
11/20/2001,Engineer,1
11/20/2001,Senior Engineer,4
11/20/2001,Senior Staff,1
11/19/2001,Senior Engineer,2
11/18/2001,Senior Staff,1
11/18/2001,Senior Engineer,1
11/17/2001,Senior Staff,1
11/17/2001,Senior Engineer,1
11/16/2001,Senior Staff,1
11/16/2001,Engineer,1
11/16/2001,Senior Engineer,1
11/15/2001,Senior Staff,2
11/15/2001,Senior Engineer,4
11/14/2001,Senior Engineer,2
11/14/2001,Senior Staff,1
11/13/2001,Senior Staff,1
11/12/2001,Senior Engineer,4
11/11/2001,Senior Staff,2
11/10/2001,Senior Staff,4
11/9/2001,Senior Engineer,1
11/8/2001,Senior Staff,1
11/8/2001,Senior Engineer,2
11/7/2001,Senior Engineer,3
11/6/2001,Senior Staff,1
11/6/2001,Engineer,1
11/6/2001,Senior Engineer,1
11/5/2001,Senior Staff,1
11/4/2001,Senior Staff,2
11/3/2001,Senior Staff,1
11/3/2001,Senior Engineer,2
11/2/2001,Senior Staff,2
11/2/2001,Senior Engineer,1
11/1/2001,Senior Engineer,2
11/1/2001,Senior Staff,2
10/31/2001,Senior Staff,1
10/30/2001,Engineer,1
10/30/2001,Senior Staff,2
10/30/2001,Senior Engineer,1
10/28/2001,Senior Engineer,5
10/28/2001,Senior Staff,2
10/27/2001,Senior Engineer,1
10/26/2001,Engineer,1
10/25/2001,Senior Engineer,1
10/25/2001,Senior Staff,2
10/24/2001,Senior Staff,1
10/24/2001,Senior Engineer,3
10/23/2001,Senior Engineer,3
10/23/2001,Engineer,1
10/23/2001,Senior Staff,1
10/22/2001,Senior Staff,3
10/21/2001,Senior Staff,1
10/21/2001,Senior Engineer,2
10/20/2001,Senior Engineer,2
10/19/2001,Senior Engineer,5
10/18/2001,Senior Staff,3
10/18/2001,Senior Engineer,1
10/17/2001,Senior Engineer,3
10/17/2001,Senior Staff,2
10/16/2001,Senior Engineer,1
10/15/2001,Senior Staff,4
10/15/2001,Engineer,1
10/15/2001,Senior Engineer,5
10/14/2001,Senior Staff,1
10/14/2001,Senior Engineer,4
10/14/2001,Engineer,1
10/13/2001,Senior Staff,1
10/13/2001,Senior Engineer,5
10/12/2001,Senior Engineer,1
10/11/2001,Senior Staff,3
10/11/2001,Senior Engineer,2
10/10/2001,Senior Engineer,3
10/10/2001,Senior Staff,3
10/9/2001,Senior Engineer,4
10/8/2001,Senior Staff,3
10/8/2001,Senior Engineer,1
10/7/2001,Senior Staff,1
10/6/2001,Senior Engineer,1
10/6/2001,Senior Staff,2
10/5/2001,Senior Engineer,1
10/5/2001,Senior Staff,1
10/4/2001,Senior Engineer,3
10/3/2001,Senior Engineer,2
10/3/2001,Senior Staff,5
10/3/2001,Engineer,1
10/2/2001,Senior Engineer,2
10/2/2001,Senior Staff,1
10/1/2001,Senior Staff,1
10/1/2001,Senior Engineer,2
9/30/2001,Senior Engineer,2
9/29/2001,Senior Staff,1
9/29/2001,Senior Engineer,2
9/28/2001,Senior Staff,2
9/28/2001,Senior Engineer,2
9/27/2001,Engineer,1
9/27/2001,Senior Engineer,3
9/27/2001,Senior Staff,1
9/26/2001,Senior Staff,2
9/26/2001,Senior Engineer,1
9/25/2001,Senior Engineer,1
9/24/2001,Senior Engineer,2
9/24/2001,Senior Staff,2
9/23/2001,Senior Engineer,1
9/22/2001,Senior Engineer,1
9/22/2001,Senior Staff,2
9/21/2001,Senior Staff,2
9/21/2001,Senior Engineer,1
9/20/2001,Senior Engineer,2
9/20/2001,Senior Staff,1
9/19/2001,Senior Staff,1
9/18/2001,Senior Staff,1
9/18/2001,Senior Engineer,3
9/17/2001,Senior Engineer,2
9/16/2001,Senior Engineer,1
9/16/2001,Engineer,1
9/15/2001,Senior Staff,3
9/15/2001,Senior Engineer,3
9/14/2001,Senior Engineer,1
9/14/2001,Senior Staff,3
9/13/2001,Senior Engineer,1
9/13/2001,Senior Staff,2
9/12/2001,Senior Staff,1
9/12/2001,Engineer,1
9/12/2001,Senior Engineer,2
9/11/2001,Senior Staff,2
9/11/2001,Senior Engineer,1
9/10/2001,Senior Engineer,1
9/10/2001,Senior Staff,2
9/9/2001,Senior Staff,1
9/9/2001,Senior Engineer,3
9/8/2001,Senior Engineer,1
9/8/2001,Engineer,1
9/7/2001,Senior Staff,4
9/6/2001,Senior Staff,1
9/6/2001,Senior Engineer,2
9/5/2001,Senior Engineer,1
9/4/2001,Engineer,1
9/4/2001,Senior Staff,1
9/3/2001,Senior Staff,3
9/3/2001,Senior Engineer,1
9/2/2001,Senior Staff,1
9/1/2001,Senior Staff,3
9/1/2001,Senior Engineer,1
8/31/2001,Senior Engineer,2
8/31/2001,Senior Staff,1
8/30/2001,Senior Engineer,2
8/30/2001,Senior Staff,1
8/29/2001,Senior Engineer,1
8/29/2001,Senior Staff,1
8/28/2001,Senior Engineer,3
8/28/2001,Senior Staff,2
8/27/2001,Senior Engineer,2
8/27/2001,Senior Staff,2
8/26/2001,Senior Staff,4
8/26/2001,Senior Engineer,1
8/25/2001,Engineer,1
8/24/2001,Senior Engineer,3
8/24/2001,Engineer,1
8/24/2001,Senior Staff,1
8/23/2001,Senior Engineer,1
8/22/2001,Engineer,1
8/22/2001,Senior Engineer,2
8/22/2001,Senior Staff,1
8/21/2001,Senior Staff,1
8/20/2001,Senior Engineer,2
8/19/2001,Senior Staff,2
8/19/2001,Senior Engineer,1
8/18/2001,Senior Staff,1
8/17/2001,Senior Staff,2
8/17/2001,Senior Engineer,2
8/16/2001,Senior Staff,1
8/16/2001,Senior Engineer,4
8/15/2001,Senior Staff,1
8/15/2001,Senior Engineer,4
8/14/2001,Senior Staff,2
8/14/2001,Senior Engineer,2
8/13/2001,Senior Engineer,2
8/13/2001,Senior Staff,1
8/12/2001,Senior Engineer,3
8/11/2001,Senior Staff,1
8/11/2001,Senior Engineer,2
8/10/2001,Senior Engineer,3
8/10/2001,Engineer,1
8/10/2001,Senior Staff,3
8/9/2001,Senior Engineer,4
8/9/2001,Senior Staff,1
8/8/2001,Senior Engineer,3
8/8/2001,Senior Staff,2
8/7/2001,Senior Staff,2
8/7/2001,Senior Engineer,1
8/6/2001,Senior Staff,2
8/6/2001,Senior Engineer,2
8/5/2001,Senior Engineer,3
8/4/2001,Senior Engineer,1
8/4/2001,Senior Staff,2
8/3/2001,Senior Staff,3
8/2/2001,Senior Engineer,1
8/1/2001,Senior Staff,1
8/1/2001,Senior Engineer,3
7/31/2001,Senior Staff,1
7/30/2001,Senior Engineer,2
7/29/2001,Senior Engineer,2
7/29/2001,Senior Staff,1
7/28/2001,Senior Staff,3
7/28/2001,Senior Engineer,1
7/27/2001,Senior Engineer,1
7/26/2001,Senior Staff,1
7/26/2001,Senior Engineer,1
7/25/2001,Senior Staff,1
7/25/2001,Senior Engineer,4
7/24/2001,Senior Staff,1
7/23/2001,Senior Staff,1
7/23/2001,Senior Engineer,2
7/22/2001,Senior Staff,3
7/21/2001,Engineer,1
7/21/2001,Senior Staff,3
7/21/2001,Senior Engineer,1
7/20/2001,Senior Staff,3
7/20/2001,Senior Engineer,2
7/19/2001,Senior Engineer,3
7/19/2001,Senior Staff,3
7/19/2001,Engineer,2
7/18/2001,Senior Engineer,3
7/18/2001,Senior Staff,2
7/17/2001,Senior Staff,2
7/17/2001,Senior Engineer,1
7/16/2001,Senior Staff,1
7/16/2001,Senior Engineer,1
7/15/2001,Senior Staff,2
7/14/2001,Senior Staff,1
7/14/2001,Senior Engineer,3
7/13/2001,Senior Staff,1
7/12/2001,Senior Engineer,2
7/12/2001,Senior Staff,1
7/11/2001,Senior Staff,2
7/11/2001,Senior Engineer,1
7/10/2001,Senior Engineer,1
7/10/2001,Senior Staff,2
7/10/2001,Engineer,1
7/9/2001,Senior Engineer,1
7/8/2001,Senior Engineer,4
7/8/2001,Senior Staff,2
7/7/2001,Engineer,1
7/7/2001,Senior Engineer,1
7/7/2001,Senior Staff,3
7/6/2001,Senior Staff,3
7/6/2001,Senior Engineer,1
7/5/2001,Senior Staff,2
7/4/2001,Senior Staff,1
7/3/2001,Senior Staff,2
7/3/2001,Senior Engineer,2
7/2/2001,Senior Staff,3
7/2/2001,Senior Engineer,3
7/1/2001,Engineer,1
6/30/2001,Senior Engineer,1
6/30/2001,Senior Staff,2
6/29/2001,Senior Engineer,1
6/29/2001,Senior Staff,3
6/28/2001,Senior Staff,1
6/28/2001,Senior Engineer,1
6/27/2001,Engineer,1
6/27/2001,Senior Staff,1
6/26/2001,Senior Staff,1
6/26/2001,Senior Engineer,4
6/25/2001,Senior Engineer,1
6/24/2001,Senior Engineer,3
6/24/2001,Senior Staff,2
6/22/2001,Senior Staff,1
6/22/2001,Senior Engineer,3
6/21/2001,Senior Staff,2
6/20/2001,Engineer,1
6/20/2001,Senior Engineer,2
6/19/2001,Senior Staff,2
6/19/2001,Senior Engineer,1
6/18/2001,Senior Engineer,1
6/17/2001,Senior Engineer,2
6/16/2001,Senior Staff,1
6/16/2001,Senior Engineer,1
6/16/2001,Engineer,1
6/15/2001,Senior Staff,3
6/15/2001,Senior Engineer,1
6/14/2001,Senior Engineer,1
6/14/2001,Senior Staff,2
6/13/2001,Senior Engineer,3
6/13/2001,Senior Staff,3
6/12/2001,Senior Engineer,2
6/11/2001,Senior Staff,2
6/10/2001,Senior Engineer,5
6/9/2001,Senior Engineer,3
6/8/2001,Engineer,1
6/8/2001,Senior Engineer,2
6/8/2001,Senior Staff,1
6/7/2001,Senior Engineer,2
6/7/2001,Senior Staff,3
6/6/2001,Senior Staff,1
6/6/2001,Senior Engineer,3
6/6/2001,Engineer,2
6/5/2001,Senior Staff,1
6/5/2001,Senior Engineer,1
6/5/2001,Engineer,1
6/4/2001,Senior Staff,1
6/3/2001,Engineer,1
6/3/2001,Senior Engineer,3
6/2/2001,Senior Staff,3
6/2/2001,Senior Engineer,1
6/1/2001,Senior Engineer,2
6/1/2001,Senior Staff,5
5/30/2001,Senior Engineer,1
5/29/2001,Senior Engineer,1
5/28/2001,Senior Staff,1
5/27/2001,Senior Staff,1
5/26/2001,Senior Engineer,1
5/26/2001,Senior Staff,3
5/25/2001,Senior Staff,1
5/24/2001,Senior Engineer,2
5/23/2001,Senior Engineer,2
5/22/2001,Senior Staff,1
5/22/2001,Senior Engineer,2
5/22/2001,Engineer,1
5/21/2001,Senior Staff,2
5/21/2001,Senior Engineer,1
5/20/2001,Senior Engineer,1
5/20/2001,Senior Staff,3
5/19/2001,Senior Engineer,3
5/19/2001,Senior Staff,1
5/18/2001,Senior Staff,2
5/18/2001,Senior Engineer,4
5/17/2001,Senior Staff,1
5/17/2001,Senior Engineer,2
5/16/2001,Senior Staff,2
5/15/2001,Senior Engineer,1
5/15/2001,Senior Staff,3
5/14/2001,Senior Staff,4
5/14/2001,Senior Engineer,2
5/13/2001,Senior Staff,2
5/13/2001,Senior Engineer,2
5/12/2001,Senior Engineer,3
5/11/2001,Senior Engineer,1
5/11/2001,Senior Staff,1
5/10/2001,Senior Engineer,1
5/10/2001,Engineer,1
5/9/2001,Senior Engineer,2
5/8/2001,Senior Staff,1
5/8/2001,Senior Engineer,2
5/7/2001,Senior Staff,2
5/7/2001,Senior Engineer,2
5/6/2001,Senior Engineer,4
5/6/2001,Senior Staff,2
5/5/2001,Senior Engineer,4
5/4/2001,Senior Engineer,2
5/3/2001,Engineer,1
5/3/2001,Senior Engineer,5
5/2/2001,Engineer,1
5/2/2001,Senior Engineer,1
5/2/2001,Senior Staff,3
5/1/2001,Senior Engineer,2
5/1/2001,Senior Staff,3
4/30/2001,Senior Engineer,4
4/30/2001,Senior Staff,1
4/29/2001,Senior Staff,2
4/28/2001,Senior Engineer,3
4/28/2001,Engineer,1
4/28/2001,Senior Staff,2
4/27/2001,Senior Engineer,3
4/27/2001,Senior Staff,2
4/27/2001,Engineer,1
4/26/2001,Senior Engineer,1
4/26/2001,Senior Staff,3
4/25/2001,Senior Engineer,1
4/25/2001,Senior Staff,3
4/24/2001,Senior Engineer,1
4/23/2001,Senior Engineer,1
4/22/2001,Senior Engineer,3
4/21/2001,Senior Staff,3
4/21/2001,Engineer,1
4/21/2001,Senior Engineer,1
4/20/2001,Senior Engineer,2
4/20/2001,Senior Staff,2
4/19/2001,Senior Staff,1
4/19/2001,Senior Engineer,4
4/18/2001,Senior Engineer,5
4/18/2001,Senior Staff,1
4/17/2001,Senior Engineer,3
4/17/2001,Senior Staff,2
4/16/2001,Senior Engineer,3
4/16/2001,Senior Staff,1
4/15/2001,Senior Staff,1
4/15/2001,Senior Engineer,1
4/14/2001,Senior Staff,2
4/14/2001,Engineer,1
4/14/2001,Senior Engineer,1
4/13/2001,Senior Engineer,1
4/13/2001,Senior Staff,3
4/12/2001,Senior Staff,1
4/11/2001,Senior Engineer,1
4/11/2001,Senior Staff,4
4/10/2001,Senior Engineer,1
4/10/2001,Senior Staff,1
4/9/2001,Senior Engineer,3
4/9/2001,Senior Staff,2
4/8/2001,Senior Staff,1
4/7/2001,Senior Staff,1
4/7/2001,Senior Engineer,1
4/6/2001,Senior Engineer,1
4/6/2001,Senior Staff,1
4/5/2001,Senior Engineer,4
4/5/2001,Senior Staff,3
4/4/2001,Senior Staff,1
4/4/2001,Senior Engineer,2
4/3/2001,Senior Engineer,3
4/3/2001,Senior Staff,5
4/1/2001,Senior Engineer,2
4/1/2001,Senior Staff,1
4/1/2001,Engineer,1
3/31/2001,Senior Engineer,2
3/30/2001,Senior Engineer,1
3/30/2001,Senior Staff,1
3/29/2001,Senior Staff,1
3/28/2001,Senior Staff,1
3/27/2001,Senior Engineer,4
3/27/2001,Senior Staff,2
3/26/2001,Senior Staff,1
3/26/2001,Senior Engineer,2
3/25/2001,Engineer,1
3/25/2001,Senior Engineer,2
3/25/2001,Senior Staff,1
3/24/2001,Senior Engineer,2
3/23/2001,Senior Engineer,2
3/23/2001,Senior Staff,3
3/22/2001,Senior Staff,2
3/22/2001,Senior Engineer,2
3/21/2001,Senior Staff,2
3/20/2001,Senior Engineer,2
3/20/2001,Senior Staff,3
3/19/2001,Senior Staff,1
